ERROR CODE,ERROR DESCRIPTION,ROUTE,SHOW ON OUTPUT
315,CORRECTED HIC NOT EQUAL TO SPACES,Yes,Yes
316,RISK ASSESSMENT CODE ERROR NOT EQUAL TO SPACES,Yes,Yes
317,INVALID OVERPAYMENT-ID ON BBB RECORD,Yes,Yes
318,INVALID PAYMENT-YEAR ON BBB RECORD,Yes,Yes
319,INPUT PLAN NO ON BBB RECORD DOES NOT MATCH PLAN NO ON REMEDY TICKET,Yes,Yes
350,INVALID PATIENT-DOB ON CCC RECORD,Yes,Yes
353,HIC NUMBER DOES NOT EXIST ON CME,Yes,Yes
354,PATIENT DOB SUBMITTED DOES NOT MATCH DOB ON MBD,Yes,Yes
400,MISSING / INVALID PROVIDER-TYPE ON DETAIL RECORD,Yes,Yes
401,INVALID SERVICE FROM-DATE ON DETAIL RECORD,Yes,Yes
402,INVALID SERVICE THRU-DATE ON DETAIL RECORD,Yes,Yes
403,SERVICE THRU-DATE IS OUTSIDE THE RISK ADJUSTMENT PROCESSING RANGE,Yes,Yes
404,SERVICE FROM-DATE MUST BE LESS THAN OR EQUAL TO THRU-DATE,Yes,Yes
405,DOB IS GREATER THAN SERVICE FROM-DATE,Yes,Yes
406,SERVICE FROM-DATE IS NOT WITHIN MEDICARE ENTITLEMENT PERIOD,Yes*,Yes*
407,SERVICE THRU-DATE IS NOT WITHIN MEDICARE ENTITLEMENT PERIOD,Yes*,Yes*
408,SERVICE FROM-DATE IS NOT WITHIN MA ORG ENROLLMENT PERIOD,Yes*,Yes*
409,SERVICE THRU-DATE IS NOT WITHIN MA ORG ENROLLMENT PERIOD,Yes*,Yes*
410,SERVICE FROM-DATE IS AFTER THE BENEFICIARY’S DISENROLLMENT FROM SUBMITTING PLAN,Yes*,Yes*
411,SERVICE THRU-DATE IS GREATER THAN DATE OF DEATH,Yes*,Yes*
412,SERVICE FROM-DATE GREATER THAN TRANSACTION DATE,Yes,Yes
413,SERVICE THRU-DATE GREATER THAN TRANSACTION DATE,Yes,Yes
414,SERVICE THRU-DATE GREATER THAN 09/30/2015 FOR ICD-9 DIAGNOSIS,Yes,Yes
415,SERVICE THRU-DATE BEFORE 10/01/2015 FOR ICD-10 DIAGNOSIS,Yes,Yes
416,RISK ASSESSMENT CODE MUST BE EQUAL TO A VALID CODE,Yes,Yes
417,DIAGNOSIS CODE IS REQUIRED IF RISK ASSESSMENT CODE PRESENT,Yes,Yes
418,SERVICE YEAR IS CLOSED FOR DIAGNOSIS SUBMISSIONS,Yes,Yes
419,DIAGNOSIS CODE PRESENT IN THE CLUSTER RISK ASSESSMENT CODE IS MISSING,Yes?,Yes
420,DIAGNOSIS CLUSTER SUBMITTED FOR RESTRICTED SERVICE YEAR,Yes?,Yes
421,DELETE-IND MUST BE EQUAL TO D FOR DELETE ON OPMT FILE,No?,No
422,SERVICE THRU-DATE IS NOT WITHIN THE REPORTED PAYMENT YEAR,Yes,Yes
423,DELETE IS NOT ALLOWED WITHOUT AN OPMT FILE AFTER FINAL SWEEP DATE,No?,No
424,SERVICE YEAR IS CLOSSED FOR DIAGNOSIS DELETE SUBMISSIONS,Yes,Yes
425,DIAGNOSIS DELETE CLUSTER SUBMITTED FOR RESTRICTED SERVICE YEAR,No?,No
450,DIAGNOSIS DOES NOT EXIST FOR THIS SERVICE THRU DATE,Yes,Yes
451,SERVICE THRU-DATE IS GREATER THAN DIAGNOSIS END DATE,Yes,Yes
453,DIAGNOSIS CODE IS NOT APPROPRIATE FOR PATIENT SEX,No,No
454,DIAGNOSIS IS VALID BUT IS NOT SUFFICIENTLY SPECIFIC FOR RISK ADJUSTMENT,No,No
455,DIAGNOSIS CLUSTER NOT EDITED DUE TO RECORD FORMAT ERROR,Yes,yes
460,SERVICE FROM- AND THRU-DATE SPAN IS GREATER THAN 31 DAYS,Yes,Yes
490,COULD NOT DELETE; DIAGNOSIS CLUSTER NOT IN RAPS DATABASE BENEFICIARY RECORD,Yes,Yes
491,DELETE ERROR DIAGNOSIS CLUSTER PREVIOUSLY DELETED,Yes,Yes
492,DIAGNOSIS CLUSTER WAS NOT SUCCESSFULLY DELETED. A DIAGNOSIS CLUSTER WITH THE SAME ATTRIBUTES WAS ALREADY DELETED FROM THE RAPS DATABASE ON THIS DATE,Yes,Yes
500,BENEFICIARY HIC NUMBER HAS CHANGED ACCORDING TO CMS RECORDS; USE CORRECT HIC NUMBER FOR THE FUTURE SUBMISSIONS,No,No
502,DIAGNOSIS CLUSTER WAS ACCEPTED BUT NOT STORED. A DIAGNOSIS CLUSTER WITH THE SAME ATTRIBUTES IS ALREADY STORED IN THE RAPS DATABASE.,No,No
