G0129,Partial hosp prog service
G6013,Radiation treatment delivery
G6014,Radiation treatment delivery
G6015,Radiation tx delivery imrt
G6016,Delivery comp imrt
H0007,Alcohol and/or drug services
H0008,Alcohol and/or drug services
H0009,Alcohol and/or drug services
H0010,Alcohol and/or drug services
H0011,Alcohol and/or drug services
H0012,Alcohol and/or drug services
H0013,Alcohol and/or drug services
H0014,Alcohol and/or drug services
H0015,Alcohol and/or drug services
H0016,Alcohol and/or drug services
H0020,Alcohol and/or drug services
H0050,Alcohol/drug service 15 min
H1000,Prenatal care atrisk assessm
H1001,Antepartum management
H1002,Carecoordination prenatal
H1003,Prenatal at risk education
H1004,Follow up home visit/prental
H1005,Prenatalcare enhanced srv pk
H2033,Multisys ther/juvenile 15min
M0075,Cellular therapy
M0076,Prolotherapy
M0100,Intragastric hypothermia
M0300,Iv chelationtherapy
M0301,Fabric wrapping of aneurysm
S0201,Partial hospitalization serv
S0220,Medical conference by physic
S0221,"Medical conference, 60 min"
S0265,Genetic counsel 15 mins
S0273,Md home visit outside cap
S0274,Nurse practr visit outs cap
S0311,Comp mgmt care coord adv ill
S0353,Cancer treatmentplan initial
S0354,Cancer treatment plan change
S0390,Rout foot care per visit
S0400,Global eswl kidney
S0610,Annual gynecological examina
S0612,Annual gynecological examina
S0613,Ann breast exam
S0620,Routine ophthalmological exa
S0621,Routine ophthalmological exa
S0630,Removal of sutures
S0800,Laser in situ keratomileusis
S0810,Photorefractive keratectomy
S0812,Phototherap keratect
S2053,Transplantation of small int
S2054,Transplantation of multivisc
S2060,Lobar lung transplantation
S2065,Simult panc kidn trans
S2066,Breast gap flap reconst
S2067,"Breast ""stacked"" diep/gap"
S2068,Breast diep or siea flap
S2070,Cysto laser tx ureteral calc
S2079,Lap esophagomyotomy
S2080,Laup
S2083,Adjustment gastric band
S2095,Transcath emboliz microspher
S2102,Islet cell tissue transplant
S2103,Adrenal tissue transplant
S2107,Adoptive immunotherapy
S2112,Knee arthroscp harv
S2115,Periacetabular osteotomy
S2117,"Arthroereisis, subtalar"
S2118,Total hip resurfacing
S2120,Low density lipoprotein(ldl)
S2150,Bmt harv/transpl 28d pkg
S2152,Solid organ transpl pkg
S2202,Echosclerotherapy
S2205,Minimally invasive direct co
S2206,Minimally invasive direct co
S2207,Minimally invasive direct co
S2208,Minimally invasive direct co
S2209,Minimally invasive direct co
S2225,Myringotomy laser-assist
S2230,Implant semi-imp hear
S2235,Implant auditory brain imp
S2300,"Arthroscopy, shoulder, surgi"
S2325,Hip core decompression
S2340,Chemodenervation of abductor
S2341,Chemodenerv adduct vocal
S2342,Nasal endoscop po debrid
S2348,Decompress disc rf lumbar
S2350,"Diskectomy, anterior, with d"
S2400,Fetal surg congen hernia
S2401,Fetal surg urin trac obstr
S2402,Fetal surg cong cyst malf
S2403,Fetal surg pulmon sequest
S2404,Fetal surg myelomeningo
S2405,Fetal surg sacrococ teratoma
S2409,Fetal surg noc
S2411,Fetoscop laser ther ttts
S3000,Bilat dil retinal exam
S4013,Compl gift case rate
S4014,Compl zift case rate
S4028,Microsurg epi sperm asp
S4989,Contracept iud
S4993,Contraceptive pills for bc
S5522,Hit picc insert no supp
S5523,Hip midline cath insert kit
S9034,Eswl for gallstones
S9128,"Speech therapy, in the home,"
S9129,"Occupational therapy, in the"
S9131,Pt in the home per diem
S9145,Insulin pump initiation
S9152,"Speech therapy, re-eval"
T1024,Team evaluation & management
T1025,"Ped compr care pkg, per diem"
T1026,"Ped compr care pkg, per hour"
T1040,Comm bh clinic svc per diem
T1041,Comm bh clinic svc per month
00100,Anesth salivary gland
00102,Anesth repair of cleft lip
00103,Anesth blepharoplasty
00104,Anesth electroshock
00120,Anesth ear surgery
00124,Anesth ear exam
00126,Anesth tympanotomy
00140,Anesth procedures on eye
00142,Anesth lens surgery
00144,Anesth corneal transplant
00145,Anesth vitreoretinal surg
00147,Anesth iridectomy
00148,Anesth eye exam
00160,Anesth nose/sinus surgery
00162,Anesth nose/sinus surgery
00164,Anesth biopsy of nose
00170,Anesth procedure on mouth
00172,Anesth cleft palate repair
00174,Anesth pharyngeal surgery
00176,Anesth pharyngeal surgery
00190,Anesth face/skull bone surg
00192,Anesth facial bone surgery
00210,Anesth cranial surg nos
00211,Anesth cran surg hemotoma
00212,Anesth skull drainage
00214,Anesth skull drainage
00215,Anesth skull repair/fract
00216,Anesth head vessel surgery
00218,Anesth special head surgery
00220,Anesth intrcrn nerve
00222,Anesth head nerve surgery
00300,Anesth head/neck/ptrunk
00320,Anesth neck organ 1yr/>
00322,Anesth biopsy of thyroid
00326,Anesth larynx/trach < 1 yr
00350,Anesth neck vessel surgery
00352,Anesth neck vessel surgery
00400,Anesth skin ext/per/atrunk
00402,Anesth surgery of breast
00404,Anesth surgery of breast
00406,Anesth surgery of breast
00410,Anesth correct heart rhythm
00450,Anesth surgery of shoulder
00454,Anesth collar bone biopsy
00470,Anesth removal of rib
00472,Anesth chest wall repair
00474,Anesth surgery of rib
00500,Anesth esophageal surgery
00520,Anesth chest procedure
00522,Anesth chest lining biopsy
00524,Anesth chest drainage
00528,Anes mediascpy & dx thorscpy
00529,Anes medscpy&thorscpy 1 lung
00530,Anesth pacemaker insertion
00532,Anesth vascular access
00534,Anesth cardioverter/defib
00537,Anesth cardiac electrophys
00539,Anesth trach-bronch reconst
00540,Anesth chest surgery
00541,Anesth one lung ventilation
00542,Anesthesia removal pleura
00546,Anesth lung chest wall surg
00548,Anesth trachea bronchi surg
00550,Anesth sternal debridement
00560,Anesth heart surg w/o pump
00561,Anesth heart surg <1 yr
00562,Anesth hrt surg w/pmp age 1+
00563,Anesth heart surg w/arrest
00566,Anesth cabg w/o pump
00567,Anesth cabg w/pump
00580,Anesth heart/lung transplnt
00600,Anesth spine cord surgery
00604,Anesth sitting procedure
00620,Anesth spine cord surgery
00625,Anes spine tranthor w/o vent
00626,Anes spine transthor w/vent
00630,Anesth spine cord surgery
00632,Anesth removal of nerves
00635,Anesth lumbar puncture
00640,Anesth spine manipulation
00670,Anesth spine cord surgery
00700,Anesth abdominal wall surg
00702,Anesth for liver biopsy
00730,Anesth abdominal wall surg
00731,Anes upr gi ndsc px nos
00732,Anes upr gi ndsc px ercp
00750,Anesth repair of hernia
00752,Anesth repair of hernia
00754,Anesth repair of hernia
00756,Anesth repair of hernia
00770,Anesth blood vessel repair
00790,Anesth surg upper abdomen
00792,Anesth hemorr/excise liver
00794,Anesth pancreas removal
00796,Anesth for liver transplant
00797,Anesth surgery for obesity
00800,Anesth abdominal wall surg
00802,Anesth fat layer removal
00811,Anes lwr intst ndsc nos
00812,Anes lwr intst scr colsc
00813,Anes upr lwr gi ndsc px
00820,Anesth abdominal wall surg
00830,Anesth repair of hernia
00832,Anesth repair of hernia
00834,Anesth hernia repair < 1 yr
00836,Anesth hernia repair preemie
00840,Anesth surg lower abdomen
00842,Anesth amniocentesis
00844,Anesth pelvis surgery
00846,Anesth hysterectomy
00848,Anesth pelvic organ surg
00851,Anesth tubal ligation
00860,Anesth surgery of abdomen
00862,Anesth kidney/ureter surg
00864,Anesth removal of bladder
00865,Anesth removal of prostate
00866,Anesth removal of adrenal
00868,Anesth kidney transplant
00870,Anesth bladder stone surg
00872,Anesth kidney stone destruct
00873,Anesth kidney stone destruct
00880,Anesth abdomen vessel surg
00882,Anesth major vein ligation
00902,Anesth anorectal surgery
00904,Anesth perineal surgery
00906,Anesth removal of vulva
00908,Anesth removal of prostate
00910,Anesth bladder surgery
00912,Anesth bladder tumor surg
00914,Anesth removal of prostate
00916,Anesth bleeding control
00918,Anesth stone removal
00920,Anesth genitalia surgery
00921,Anesth vasectomy
00922,Anesth sperm duct surgery
00924,Anesth testis exploration
00926,Anesth removal of testis
00928,Anesth removal of testis
00930,Anesth testis suspension
00932,Anesth amputation of penis
00934,Anesth penis nodes removal
00936,Anesth penis nodes removal
00938,Anesth insert penis device
00940,Anesth vaginal procedures
00942,Anesth surg on vag/urethral
00944,Anesth vaginal hysterectomy
00948,Anesth repair of cervix
00950,Anesth vaginal endoscopy
00952,Anesth hysteroscope/graph
01112,Anesth bone aspirate/bx
01120,Anesth pelvis surgery
01130,Anesth body cast procedure
01140,Anesth amputation at pelvis
01150,Anesth pelvic tumor surgery
01160,Anesth pelvis procedure
01170,Anesth pelvis surgery
01173,Anesth fx repair pelvis
01200,Anesth hip joint procedure
01202,Anesth arthroscopy of hip
01210,Anesth hip joint surgery
01212,Anesth hip disarticulation
01214,Anesth hip arthroplasty
01215,Anesth revise hip repair
01220,Anesth procedure on femur
01230,Anesth surgery of femur
01232,Anesth amputation of femur
01234,Anesth radical femur surg
01250,Anesth upper leg surgery
01260,Anesth upper leg veins surg
01270,Anesth thigh arteries surg
01272,Anesth femoral artery surg
01274,Anesth femoral embolectomy
01320,Anesth knee area surgery
01340,Anesth knee area procedure
01360,Anesth knee area surgery
01380,Anesth knee joint procedure
01382,Anesth dx knee arthroscopy
01390,Anesth knee area procedure
01392,Anesth knee area surgery
01400,Anesth knee joint surgery
01402,Anesth knee arthroplasty
01404,Anesth amputation at knee
01420,Anesth knee joint casting
01430,Anesth knee veins surgery
01432,Anesth knee vessel surg
01440,Anesth knee arteries surg
01442,Anesth knee artery surg
01444,Anesth knee artery repair
01462,Anesth lower leg procedure
01464,Anesth ankle/ft arthroscopy
01470,Anesth lower leg surgery
01472,Anesth achilles tendon surg
01474,Anesth lower leg surgery
01480,Anesth lower leg bone surg
01482,Anesth radical leg surgery
01484,Anesth lower leg revision
01486,Anesth ankle replacement
01490,Anesth lower leg casting
01500,Anesth leg arteries surg
01502,Anesth lwr leg embolectomy
01520,Anesth lower leg vein surg
01522,Anesth lower leg vein surg
01610,Anesth surgery of shoulder
01620,Anesth shoulder procedure
01622,Anes dx shoulder arthroscopy
01630,Anesth surgery of shoulder
01634,Anesth shoulder joint amput
01636,Anesth forequarter amput
01638,Anesth shoulder replacement
01650,Anesth shoulder artery surg
01652,Anesth shoulder vessel surg
01654,Anesth shoulder vessel surg
01656,Anesth arm-leg vessel surg
01670,Anesth shoulder vein surg
01680,Anesth shoulder casting
01710,Anesth elbow area surgery
01712,Anesth uppr arm tendon surg
01714,Anesth uppr arm tendon surg
01716,Anesth biceps tendon repair
01730,Anesth uppr arm procedure
01732,Anesth dx elbow arthroscopy
01740,Anesth upper arm surgery
01742,Anesth humerus surgery
01744,Anesth humerus repair
01756,Anesth radical humerus surg
01758,Anesth humeral lesion surg
01760,Anesth elbow replacement
01770,Anesth uppr arm artery surg
01772,Anesth uppr arm embolectomy
01780,Anesth upper arm vein surg
01782,Anesth uppr arm vein repair
01810,Anesth lower arm surgery
01820,Anesth lower arm procedure
01829,Anesth dx wrist arthroscopy
01830,Anesth lower arm surgery
01832,Anesth wrist replacement
01840,Anesth lwr arm artery surg
01842,Anesth lwr arm embolectomy
01844,Anesth vascular shunt surg
01850,Anesth lower arm vein surg
01852,Anesth lwr arm vein repair
01860,Anesth lower arm casting
01916,Anesth dx arteriography
01920,Anesth catheterize heart
01922,Anesth cat or mri scan
01924,Anes ther interven rad artrl
01925,Anes ther interven rad card
01926,Anes tx interv rad hrt/cran
01930,Anes ther interven rad vein
01931,Anes ther interven rad tips
01932,Anes tx interv rad th vein
01933,Anes tx interv rad cran vein
01935,Anesth perc img dx sp proc
01936,Anesth perc img tx sp proc
01951,Anesth burn less 4 percent
01952,Anesth burn 4-9 percent
01958,Anesth antepartum manipul
01960,Anesth vaginal delivery
01961,Anesth cs delivery
01962,Anesth emer hysterectomy
01963,Anesth cs hysterectomy
01965,Anesth inc/missed ab proc
01967,Anesth/analg vag delivery
01990,Support for organ donor
01991,Anesth nerve block/inj
01992,Anesth n block/inj prone
01996,Hosp manage cont drug admin
01999,Unlisted anesth procedure
10021,Fna w/o image
10022,Fna w/image
10030,Guide cathet fluid drainage
10040,Acne surgery
10060,Drainage of skin abscess
10061,Drainage of skin abscess
10080,Drainage of pilonidal cyst
10081,Drainage of pilonidal cyst
10120,Remove foreign body
10121,Remove foreign body
10140,Drainage of hematoma/fluid
10160,Puncture drainage of lesion
10180,Complex drainage wound
11000,Debride infected skin
11004,Debride genitalia & perineum
11005,Debride abdom wall
11006,Debride genit/per/abdom wall
11010,Debride skin at fx site
11011,Debride skin musc at fx site
11012,Deb skin bone at fx site
11042,Deb subq tissue 20 sq cm/<
11043,Deb musc/fascia 20 sq cm/<
11044,Deb bone 20 sq cm/<
11055,Trim skin lesion
11056,Trim skin lesions 2 to 4
11057,Trim skin lesions over 4
11200,Removal of skin tags <w/15
11300,Shave skin lesion 0.5 cm/<
11301,Shave skin lesion 0.6-1.0 cm
11302,Shave skin lesion 1.1-2.0 cm
11303,Shave skin lesion >2.0 cm
11305,Shave skin lesion 0.5 cm/<
11306,Shave skin lesion 0.6-1.0 cm
11307,Shave skin lesion 1.1-2.0 cm
11308,Shave skin lesion >2.0 cm
11310,Shave skin lesion 0.5 cm/<
11311,Shave skin lesion 0.6-1.0 cm
11312,Shave skin lesion 1.1-2.0 cm
11313,Shave skin lesion >2.0 cm
11400,Exc tr-ext b9+marg 0.5 cm<
11401,Exc tr-ext b9+marg 0.6-1 cm
11402,Exc tr-ext b9+marg 1.1-2 cm
11403,Exc tr-ext b9+marg 2.1-3cm
11404,Exc tr-ext b9+marg 3.1-4 cm
11406,Exc tr-ext b9+marg >4.0 cm
11420,Exc h-f-nk-sp b9+marg 0.5/<
11421,Exc h-f-nk-sp b9+marg 0.6-1
11422,Exc h-f-nk-sp b9+marg 1.1-2
11423,Exc h-f-nk-sp b9+marg 2.1-3
11424,Exc h-f-nk-sp b9+marg 3.1-4
11426,Exc h-f-nk-sp b9+marg >4 cm
11440,Exc face-mm b9+marg 0.5 cm/<
11441,Exc face-mm b9+marg 0.6-1 cm
11442,Exc face-mm b9+marg 1.1-2 cm
11443,Exc face-mm b9+marg 2.1-3 cm
11444,Exc face-mm b9+marg 3.1-4 cm
11446,Exc face-mm b9+marg >4 cm
11450,Removal sweat gland lesion
11451,Removal sweat gland lesion
11462,Removal sweat gland lesion
11463,Removal sweat gland lesion
11470,Removal sweat gland lesion
11471,Removal sweat gland lesion
11600,Exc tr-ext mal+marg 0.5 cm/<
11601,Exc tr-ext mal+marg 0.6-1 cm
11602,Exc tr-ext mal+marg 1.1-2 cm
11603,Exc tr-ext mal+marg 2.1-3 cm
11604,Exc tr-ext mal+marg 3.1-4 cm
11606,Exc tr-ext mal+marg >4 cm
11620,Exc h-f-nk-sp mal+marg 0.5/<
11621,Exc s/n/h/f/g mal+mrg 0.6-1
11622,Exc s/n/h/f/g mal+mrg 1.1-2
11623,Exc s/n/h/f/g mal+mrg 2.1-3
11624,Exc s/n/h/f/g mal+mrg 3.1-4
11626,Exc s/n/h/f/g mal+mrg >4 cm
11640,Exc f/e/e/n/l mal+mrg 0.5cm<
11641,Exc f/e/e/n/l mal+mrg 0.6-1
11642,Exc f/e/e/n/l mal+mrg 1.1-2
11643,Exc f/e/e/n/l mal+mrg 2.1-3
11644,Exc f/e/e/n/l mal+mrg 3.1-4
11646,Exc f/e/e/n/l mal+mrg >4 cm
11719,Trim nail(s) any number
11720,Debride nail 1-5
11721,Debride nail 6 or more
11730,Removal of nail plate
11740,Drain blood from under nail
11750,Removal of nail bed
11760,Repair of nail bed
11762,Reconstruction of nail bed
11765,Excision of nail fold toe
11770,Remove pilonidal cyst simple
11771,Remove pilonidal cyst exten
11772,Remove pilonidal cyst compl
11900,Inject skin lesions </w 7
11901,Inject skin lesions >7
11920,Correct skin color 6.0 cm/<
11921,Correct skn color 6.1-20.0cm
11950,Tx contour defects 1 cc/<
11951,Tx contour defects 1.1-5.0cc
11952,Tx contour defects 5.1-10cc
11954,Tx contour defects >10.0 cc
11960,Insert tissue expander(s)
11970,Replace tissue expander
11971,Remove tissue expander(s)
11976,Remove contraceptive capsule
11980,Implant hormone pellet(s)
11981,Insert drug implant device
11982,Remove drug implant device
11983,Remove/insert drug implant
12001,Rpr s/n/ax/gen/trnk 2.5cm/<
12002,Rpr s/n/ax/gen/trnk2.6-7.5cm
12004,Rpr s/n/ax/gen/trk7.6-12.5cm
12005,Rpr s/n/a/gen/trk12.6-20.0cm
12006,Rpr s/n/a/gen/trk20.1-30.0cm
12007,Rpr s/n/ax/gen/trnk >30.0 cm
12011,Rpr f/e/e/n/l/m 2.5 cm/<
12013,Rpr f/e/e/n/l/m 2.6-5.0 cm
12014,Rpr f/e/e/n/l/m 5.1-7.5 cm
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm
12016,Rpr fe/e/en/l/m 12.6-20.0 cm
12017,Rpr fe/e/en/l/m 20.1-30.0 cm
12018,Rpr f/e/e/n/l/m >30.0 cm
12020,Closure of split wound
12021,Closure of split wound
12031,Intmd rpr s/a/t/ext 2.5 cm/<
12032,Intmd rpr s/a/t/ext 2.6-7.5
12034,Intmd rpr s/tr/ext 7.6-12.5
12035,Intmd rpr s/a/t/ext 12.6-20
12036,Intmd rpr s/a/t/ext 20.1-30
12037,Intmd rpr s/tr/ext >30.0 cm
12041,Intmd rpr n-hf/genit 2.5cm/<
12042,Intmd rpr n-hf/genit2.6-7.5
12044,Intmd rpr n-hf/genit7.6-12.5
12045,Intmd rpr n-hf/genit12.6-20
12046,Intmd rpr n-hf/genit20.1-30
12047,Intmd rpr n-hf/genit >30.0cm
12051,Intmd rpr face/mm 2.5 cm/<
12052,Intmd rpr face/mm 2.6-5.0 cm
12053,Intmd rpr face/mm 5.1-7.5 cm
12054,Intmd rpr face/mm 7.6-12.5cm
12055,Intmd rpr face/mm 12.6-20 cm
12056,Intmd rpr face/mm 20.1-30.0
12057,Intmd rpr face/mm >30.0 cm
13100,Cmplx rpr trunk 1.1-2.5 cm
13101,Cmplx rpr trunk 2.6-7.5 cm
13120,Cmplx rpr s/a/l 1.1-2.5 cm
13121,Cmplx rpr s/a/l 2.6-7.5 cm
13131,Cmplx rpr f/c/c/m/n/ax/g/h/f
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f
13151,Cmplx rpr e/n/e/l 1.1-2.5 cm
13152,Cmplx rpr e/n/e/l 2.6-7.5 cm
13160,Late closure of wound
14000,Tis trnfr trunk 10 sq cm/<
14001,Tis trnfr trunk 10.1-30sqcm
14020,Tis trnfr s/a/l 10 sq cm/<
14021,Tis trnfr s/a/l 10.1-30 sqcm
14040,Tis trnfr f/c/c/m/n/a/g/h/f
14041,Tis trnfr f/c/c/m/n/a/g/h/f
14060,Tis trnfr e/n/e/l 10 sq cm/<
14061,Tis trnfr e/n/e/l10.1-30sqcm
14301,Tis trnfr any 30.1-60 sq cm
14350,Filleted finger/toe flap
15002,Wound prep trk/arm/leg
15004,Wound prep f/n/hf/g
15040,Harvest cultured skin graft
15050,Skin pinch graft
15100,Skin splt grft trnk/arm/leg
15110,Epidrm autogrft trnk/arm/leg
15115,Epidrm a-grft face/nck/hf/g
15120,Skn splt a-grft fac/nck/hf/g
15130,Derm autograft trnk/arm/leg
15135,Derm autograft face/nck/hf/g
15150,Cult skin grft t/arm/leg
15155,Cult skin graft f/n/hf/g
15200,Skin full graft trunk
15220,Skin full graft sclp/arm/leg
15240,Skin full grft face/genit/hf
15260,Skin full graft een & lips
15271,Skin sub graft trnk/arm/leg
15273,Skin sub grft t/arm/lg child
15275,Skin sub graft face/nk/hf/g
15277,Skn sub grft f/n/hf/g child
15570,Skin pedicle flap trunk
15572,Skin pedicle flap arms/legs
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f
15576,Pedicle e/n/e/l/ntroral
15600,Delay flap trunk
15610,Delay flap arms/legs
15620,Delay flap f/c/c/n/ax/g/h/f
15630,Delay flap eye/nos/ear/lip
15650,Transfer skin pedicle flap
15730,Mdfc flap w/prsrv vasc pedcl
15731,Forehead flap w/vasc pedicle
15733,Musc myoq/fscq flp h&n pedcl
15734,Muscle-skin graft trunk
15736,Muscle-skin graft arm
15738,Muscle-skin graft leg
15740,Island pedicle flap graft
15750,Neurovascular pedicle flap
15756,Free myo/skin flap microvasc
15757,Free skin flap microvasc
15758,Free fascial flap microvasc
15760,Composite skin graft
15770,Derma-fat-fascia graft
15775,Hair trnspl 1-15 punch grfts
15776,Hair trnspl >15 punch grafts
15780,Dermabrasion total face
15781,Dermabrasion segmental face
15782,Dermabrasion other than face
15783,Dermabrasion suprfl any site
15786,Abrasion lesion single
15788,Chemical peel face epiderm
15789,Chemical peel face dermal
15792,Chemical peel nonfacial
15793,Chemical peel nonfacial
15819,Plastic surgery neck
15820,Revision of lower eyelid
15821,Revision of lower eyelid
15822,Revision of upper eyelid
15823,Revision of upper eyelid
15824,Removal of forehead wrinkles
15825,Removal of neck wrinkles
15826,Removal of brow wrinkles
15828,Removal of face wrinkles
15829,Removal of skin wrinkles
15830,Exc skin abd
15832,Excise excessive skin thigh
15833,Excise excessive skin leg
15834,Excise excessive skin hip
15835,Excise excessive skin buttck
15836,Excise excessive skin arm
15837,Excise excess skin arm/hand
15838,Excise excess skin fat pad
15839,Excise excess skin & tissue
15840,Nerve palsy fascial graft
15841,Nerve palsy muscle graft
15842,Nerve palsy microsurg graft
15845,Skin and muscle repair face
15850,Remove sutures same surgeon
15851,Remove sutures diff surgeon
15852,Dressing change not for burn
15860,Test for blood flow in graft
15876,Suction lipectomy head&neck
15877,Suction lipectomy trunk
15878,Suction lipectomy upr extrem
15879,Suction lipectomy lwr extrem
15920,Removal of tail bone ulcer
15922,Removal of tail bone ulcer
15931,Remove sacrum pressure sore
15933,Remove sacrum pressure sore
15934,Remove sacrum pressure sore
15935,Remove sacrum pressure sore
15936,Remove sacrum pressure sore
15937,Remove sacrum pressure sore
15940,Remove hip pressure sore
15941,Remove hip pressure sore
15944,Remove hip pressure sore
15945,Remove hip pressure sore
15946,Remove hip pressure sore
15950,Remove thigh pressure sore
15951,Remove thigh pressure sore
15952,Remove thigh pressure sore
15953,Remove thigh pressure sore
15956,Remove thigh pressure sore
15958,Remove thigh pressure sore
15999,Removal of pressure sore
16000,Initial treatment of burn(s)
16020,Dress/debrid p-thick burn s
16025,Dress/debrid p-thick burn m
16030,Dress/debrid p-thick burn l
16035,Incision of burn scab initi
17000,Destruct premalg lesion
17004,Destroy premal lesions 15/>
17106,Destruction of skin lesions
17107,Destruction of skin lesions
17108,Destruction of skin lesions
17110,Destruct b9 lesion 1-14
17111,Destruct lesion 15 or more
17250,Chem caut of granltj tissue
17260,Destruction of skin lesions
17261,Destruction of skin lesions
17262,Destruction of skin lesions
17263,Destruction of skin lesions
17264,Destruction of skin lesions
17266,Destruction of skin lesions
17270,Destruction of skin lesions
17271,Destruction of skin lesions
17272,Destruction of skin lesions
17273,Destruction of skin lesions
17274,Destruction of skin lesions
17276,Destruction of skin lesions
17280,Destruction of skin lesions
17281,Destruction of skin lesions
17282,Destruction of skin lesions
17283,Destruction of skin lesions
17284,Destruction of skin lesions
17286,Destruction of skin lesions
17311,Mohs 1 stage h/n/hf/g
17313,Mohs 1 stage t/a/l
17340,Cryotherapy of skin
17360,Skin peel therapy
17380,Hair removal by electrolysis
17999,Skin tissue procedure
19000,Drainage of breast lesion
19020,Incision of breast lesion
19105,Cryosurg ablate fa each
19110,Nipple exploration
19112,Excise breast duct fistula
19120,Removal of breast lesion
19125,Excision breast lesion
19260,Removal of chest wall lesion
19271,Revision of chest wall
19272,Extensive chest wall surgery
19296,Place po breast cath for rad
19298,Place breast rad tube/caths
19300,Removal of breast tissue
19301,Partial mastectomy
19302,P-mastectomy w/ln removal
19303,Mast simple complete
19304,Mast subq
19305,Mast radical
19306,Mast rad urban type
19307,Mast mod rad
19316,Suspension of breast
19318,Reduction of large breast
19324,Enlarge breast
19325,Enlarge breast with implant
19328,Removal of breast implant
19330,Removal of implant material
19340,Immediate breast prosthesis
19342,Delayed breast prosthesis
19350,Breast reconstruction
19355,Correct inverted nipple(s)
19357,Breast reconstruction
19361,Breast reconstr w/lat flap
19364,Breast reconstruction
19366,Breast reconstruction
19367,Breast reconstruction
19368,Breast reconstruction
19369,Breast reconstruction
19370,Surgery of breast capsule
19371,Removal of breast capsule
19380,Revise breast reconstruction
19396,Design custom breast implant
19499,Breast surgery procedure
20005,I&d abscess subfascial
20100,Explore wound neck
20101,Explore wound chest
20102,Explore wound abdomen
20103,Explore wound extremity
20150,Excise epiphyseal bar
20500,Injection of sinus tract
20520,Removal of foreign body
20525,Removal of foreign body
20526,Ther injection carp tunnel
20527,Inj dupuytren cord w/enzyme
20550,Inj tendon sheath/ligament
20551,Inj tendon origin/insertion
20552,Inj trigger point 1/2 muscl
20553,Inject trigger points 3/>
20555,Place ndl musc/tis for rt
20600,Drain/inj joint/bursa w/o us
20604,Drain/inj joint/bursa w/us
20605,Drain/inj joint/bursa w/o us
20606,Drain/inj joint/bursa w/us
